Genêro;Idades;Onde reside;Grau de Instrução;Renda mensal em salário minímo;Orientação Sexual;Você já sofreu algum tipo de preconceito por conta da sua opção sexual?;Tem conhecimento da ação do Supremo Tribunal Federal (STF) que pretende criminalizar a LGBTfobia;Você acha que essa ação tem um grau de relevância alta atualmente?;Quantas vezes você já presenciou um ato de LGBTfobia?;Comentários;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Bissexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Outros;Não;Sim;Concordo Totalmente;5+;;
Feminino;18;Curitiba;Ensino Superior Incompleto;1;Bissexual;Sim;Sim;Concordo;5+;;
Feminino;19;Curitiba;Ensino Superior Incompleto;3;Homossexual;Sim;Mais ou menos;Concordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Homossexual;Sim;Sim;Concordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Homossexual;Sim;Sim;Concordo Totalmente;5+;;
Feminino;22;Curitiba;Ensino Superior Incompleto;5;Bissexual;Sim;Sim;Concordo;5+;;
Masculino;20;Curitiba;Ensino Superior Incompleto;6;Homossexual;Sim;Mais ou menos;Discordo Totalmente;5+;;
Feminino;18;Curitiba;Ensino Médio Completo;2;Heterossexual;Não;Mais ou menos;Concordo;5+;;
Feminino;18;Curitiba;Ensino Médio Completo;2;Heterossexual;Não;Não;Concordo Totalmente;5+;;
Feminino;19;Curitiba;Ensino Médio Completo;3;Heterossexual;Não;Mais ou menos;Concordo Totalmente;2;;
Feminino;19;Curitiba;Ensino Médio Completo;3;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;19;Curitiba;Ensino Médio Completo;3;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;22;Curitiba;Ensino Médio Completo;4;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Masculino;19;Curitiba;Ensino Médio Completo;3;Heterossexual;Não;Não;Concordo;5+;;
Masculino;20;Curitiba;Ensino Médio Completo;5;Heterossexual;Não;Sim;Concordo;5+;;
Feminino;18;Curitiba;Ensino Superior Completo;3;Homossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;19;Curitiba;Ensino Superior Completo;4;Heterossexual;Não;Sim;Concordo Totalmente;2;;
Feminino;21;Curitiba;Ensino Superior Completo;6;Heterossexual;Não;Sim;Concordo Totalmente;1;;
Feminino;30;Curitiba;Ensino Superior Completo;4;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;54;Região Metropolitana;Ensino Superior Completo;6;Heterossexual;Não;Mais ou menos;Concordo;5+;"Sou professora e vejo os alunos se chamando de ""viado"", como forma de xingamento.";
Masculino;32;Curitiba;Ensino Superior Completo;5;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Masculino;40;Curitiba;Ensino Superior Completo;5;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;18;Curitiba;Ensino Superior Incompleto;1;Heterossexual;Não;Sim;Concordo Totalmente;3;;
Feminino;18;Curitiba;Ensino Superior Incompleto;1;Heterossexual;Não;Mais ou menos;Concordo Totalmente;3;;
Feminino;18;Curitiba;Ensino Superior Incompleto;3;Heterossexual;Não;Sim;Concordo Totalmente;1;;
Feminino;19;Curitiba;Ensino Superior Incompleto;3;Heterossexual;Não;Sim;Concordo Totalmente;4;;
Feminino;19;Curitiba;Ensino Superior Incompleto;3;Heterossexual;Não;Sim;Concordo;4;;
Feminino;19;Curitiba;Ensino Superior Incompleto;3;Heterossexual;Não;Mais ou menos;Concordo Totalmente;5+;;
Feminino;19;Curitiba;Ensino Superior Incompleto;4;Heterossexual;Não;Não;Concordo Totalmente;4;;
Feminino;19;Curitiba;Ensino Superior Incompleto;4;Heterossexual;Não;Sim;Concordo;5+;comentários e xingamentos denegrindo;
Feminino;19;Curitiba;Ensino Superior Incompleto;5;Heterossexual;Não;Sim;Concordo Totalmente;2;;
Feminino;19;Curitiba;Ensino Superior Incompleto;5;Heterossexual;Não;Sim;Concordo Totalmente;2;;
Feminino;19;Curitiba;Ensino Superior Incompleto;5;Heterossexual;Não;Não;Concordo Totalmente;3;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Discordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo Totalmente;5+;Comentários que utilizam de apelidos como “bicha”, “viado”, “gay” como forma de ofensa ou de “brincadeira” são diários. Mas já presenciei a cena de um rapaz gay (que tava com glitter e etc) que estava andando na rua, no período da tarde, na época de carnaval, e um policial que estava no local, do nada, espirrou spray de pimenta no rosto dele, mas não na menina que estava junto com ele.;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Mais ou menos;Concordo Totalmente;5+;;
Feminino;20;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Mais ou menos;Concordo;5+;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo;2;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo;2;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Mais ou menos;Concordo Totalmente;2;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo Totalmente;2;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Mais ou menos;Concordo Totalmente;2;;
Feminino;21;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo Totalmente;3;;
Feminino;22;Curitiba;Ensino Superior Incompleto;5;Heterossexual;Não;Sim;Concordo;5+;;
Feminino;22;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Nem discordo nem concordo;1;;
Feminino;23;Curitiba;Ensino Superior Incompleto;6;Heterossexual;Não;Sim;Concordo Totalmente;1;;
